"Index","INDPRO","CPIAUCSL","UNRATE","FEDFUNDS","GS10","SP500","DCOILWTICO","UMCSENT"
"1990-10-31",4.1365176436133,4.89335213348152,5.9,8.11,8.72,5.71702770140622,3.5641662099403,63.9
"1990-11-30",4.12372049984849,4.8955984841079,6.2,7.81,8.39,5.77523454585126,3.37005065266532,66
"1990-12-31",4.11635390326036,4.89933122453758,6.3,7.31,8.08,5.79975910270032,3.34920208654377,65.5
"1991-01-31",4.11309271218379,4.90305008341632,6.4,6.91,8.09,5.84043812699907,3.08648663682246,66.8
"1991-02-28",4.10567677611876,4.90379219847821,6.6,6.25,7.85,5.90555258551485,2.9590682891824,70.4
"1991-03-31",4.09990573685247,4.90379219847821,6.8,6.12,8.11,5.92751252386876,2.97705900828837,87.7
"1991-04-30",4.10254088044659,4.90601524496615,6.7,5.91,8.04,5.92783227210635,3.04404613383254,81.8
"1991-05-31",4.11191103104778,4.90970937550629,6.9,5.78,8.07,5.96571071221179,3.0521126069901,78.3
"1991-06-30",4.11998144429684,4.91265488573605,6.9,5.9,8.28,5.91663324635164,3.02334744058696,82.1
"1991-07-31",4.12277813616241,4.91412439371541,6.8,5.82,8.27,5.9605155226686,3.07731226054641,82.9
"1991-08-31",4.12276679648479,4.91705694713669,6.9,5.66,7.9,5.97997376187032,3.10368941505908,82
"1991-09-30",4.13066845543592,4.91998092582813,6.9,5.45,7.65,5.96064441200076,3.10234200861225,83
"1991-10-31",4.13012185359762,4.92143971529178,7,5.21,7.53,5.9724091716775,3.14802408389625,78.3
"1991-11-30",4.12853823789208,4.92580335857956,7,4.81,7.42,5.92751252386876,3.06712226964066,69.1
"1991-12-31",4.12366385358256,4.92870191133357,7.3,4.43,7.09,6.03330201706942,2.95230271562665,68.2
"1992-01-31",4.1184125895558,4.92942523867071,7.3,4.03,7.03,6.01317711102742,2.94074796522123,67.5
"1992-02-29",4.12544747914809,4.9315920867558,7.4,4.06,7.34,6.022720966337,2.92798862146747,68.8
"1992-03-31",4.13393700114859,4.9351930989294,7.4,3.98,7.54,6.00064726273036,2.96990151351947,76
"1992-04-30",4.14149846781539,4.93734749832642,7.4,3.73,7.48,6.02815806046253,3.03879176301444,77.2
"1992-05-31",4.14478415898017,4.93949726626292,7.6,3.82,7.39,6.02912155297995,3.09693415406296,79.2
"1992-06-30",4.14529588147615,4.94235645334296,7.8,3.76,7.26,6.01161028869166,3.0837431508767,80.4
"1992-07-31",4.15446081954908,4.9452074887738,7.7,3.25,6.84,6.05022859549553,3.08328517056185,76.6
"1992-08-31",4.14885326497245,4.94734044372394,7.6,3.3,6.59,6.02593843201971,3.06619073720255,76.1
"1992-09-30",4.15214638014436,4.94946885885877,7.6,3.22,6.42,6.03500281990506,3.08328517056185,75.6
"1992-10-31",4.15887527082915,4.95371214669663,7.3,3.1,6.59,6.03710688749309,3.02916704964023,73.3
"1992-11-30",4.16266031562745,4.95653103510305,7.4,3.09,6.87,6.06691983967239,2.9912221180761,85.3
"1992-12-31",4.16434781199385,4.95793750509581,7.4,2.92,6.77,6.07697686482071,2.96990151351947,91
"1993-01-31",4.16818035448109,4.96144504990548,7.3,3.02,6.6,6.08399814572888,3.00914196046391,89.3
"1993-02-28",4.17298474836042,4.9635436865624,7.1,3.03,6.26,6.09442720117851,3.02188723103084,86.6
"1993-03-31",4.17211083462805,4.96494033483413,7,3.07,5.98,6.11295185442134,3.0174937653355,85.9
"1993-04-30",4.17485023963169,4.96842344528695,7.1,2.96,5.97,6.08720645743374,3.02237420450041,85.6
"1993-05-31",4.17105865928981,4.97120122485085,7.1,3,6.04,6.10966972129892,2.99773027621666,80.3
"1993-06-30",4.17331130663934,4.97189446577983,7,3.04,5.96,6.11042466479652,2.93492013415723,81.5
"1993-07-31",4.17600442313665,4.97327950755249,6.9,3.06,5.81,6.10508337978873,2.88703285663065,77
"1993-08-31",4.17479795478382,4.97535347995162,6.8,3.03,5.68,6.13893582119954,2.90361698464619,77.3
"1993-09-30",4.18008944309956,4.97673374242057,6.7,3.09,5.36,6.12889767702445,2.92959247104945,77.9
"1993-10-31",4.18739309552186,4.98086313576259,6.8,2.99,5.33,6.14810495336175,2.83144707924613,82.7
"1993-11-30",4.19195210107511,4.98360662170834,6.6,3.02,5.72,6.13511026079401,2.73176672771953,81.2
"1993-12-31",4.19785737192214,4.98565930802608,6.5,2.96,5.77,6.14515085957704,2.65253749117195,88.2
"1994-01-31",4.20073105138907,4.98565930802608,6.6,3.05,5.75,6.17713462748308,2.7239235502585,94.3
"1994-02-28",4.20131378321934,4.98838968514894,6.6,3.25,5.97,6.14662902996703,2.67414864942653,93.2
"1994-03-31",4.21146367382597,4.99111262760739,6.5,3.34,6.48,6.09980309929063,2.69327491552006,91.5
"1994-04-30",4.21735981186863,4.99179220629478,6.4,3.56,6.97,6.1112677711692,2.82849635417808,92.6
"1994-05-31",4.22195030782717,4.99382817577987,6.1,4.01,7.18,6.12358870003502,2.90690105984738,92.8
"1994-06-30",4.22867875751431,4.99653636971675,6.1,4.25,7.1,6.09643246098858,2.9637254774189,91.2
"1994-07-31",4.23000826319381,4.99991133073328,6.1,4.26,7.3,6.12743672994142,3.01062088604774,89
"1994-08-31",4.23669012070674,5.00394630594546,6,4.47,7.24,6.16434583073206,2.86789890204411,91.7
"1994-09-30",4.23983066996829,5.00595770454514,5.9,4.73,7.46,6.13710048948806,2.91017438519234,91.5
"1994-10-31",4.24784360120615,5.00662727269872,5.8,4.76,7.74,6.15772024913674,2.89922137317315,92.7
"1994-11-30",4.25465622416283,5.00930107108312,5.6,5.29,7.96,6.11741415081198,2.89369954798884,91.6
"1994-12-31",4.26482265008506,5.01130173863942,5.5,5.45,7.81,6.12963824849082,2.87751164216656,95.1
"1995-01-31",4.266523186283,5.01396308418893,5.6,5.53,7.78,6.15362594123154,2.91668906621354,97.6
"1995-02-28",4.26539449897799,5.0166173657738,5.4,5.92,7.47,6.18906465400635,2.91885122921803,95.1
"1995-03-31",4.26705480013628,5.01860346374543,5.4,5.98,7.2,6.21602707410999,2.95386806945529,90.3
"1995-04-30",4.26532707434606,5.02256386496153,5.8,6.05,7.06,6.24360367795283,3.01357219168232,92.5
"1995-05-31",4.27022598133118,5.02453819926525,5.6,6.01,6.63,6.27927165751856,2.93810316071735,89.8
"1995-06-30",4.27353483276338,5.02650864325255,5.6,6,6.17,6.30032697382473,2.85532011983725,92.7
"1995-07-31",4.26934494002328,5.02782011885036,5.7,5.85,6.28,6.33160860141724,2.86903462050803,94.4
"1995-08-31",4.28251426301573,5.02978411293502,5.7,5.74,6.49,6.33128831265284,2.88424189752063,96.2
"1995-09-30",4.28653943920321,5.03109130266364,5.6,5.8,6.2,6.37060274534443,2.86448398694404,88.9
"1995-10-31",4.2847803317923,5.03370056702725,5.5,5.76,6.04,6.36561097195872,2.87186828633161,90.2
"1995-11-30",4.28741233768694,5.03500265054455,5.6,5.8,5.93,6.40583983328007,2.90526037038992,88.2
