"model","origin_date","origin_idx","lambda","alpha","psi","soc","sur","log_ml"
"small","2016-03-31",375,0.3672361916191,NA,NA,0.549961389122482,0.714164970959007,3138.52313330029
"small","2016-04-30",376,0.38131912356095,NA,NA,0.55043537084043,0.676489575108741,3149.92528793295
"small","2016-05-31",377,0.377485597911927,NA,NA,0.577540909341338,0.728140646734398,3158.79951845745
"small","2016-06-30",378,0.376164766986989,NA,NA,0.492402458380017,0.710852996687058,3165.63988242757
"small","2016-07-31",379,0.368747086335339,NA,NA,0.487210255123149,0.664786514536797,3174.80657254665
"small","2016-08-31",380,0.390089353922088,NA,NA,0.513407308077922,0.747140298493147,3189.61849280395
"small","2016-09-30",381,0.383688885949408,NA,NA,0.499558446827645,0.642174973415606,3199.29717923509
"small","2016-10-31",382,0.385811239943055,NA,NA,0.496782321198564,0.683876473100047,3208.69966098004
"small","2016-11-30",383,0.377117680858655,NA,NA,0.509166287496141,0.669384707651082,3219.2980305374
"small","2016-12-31",384,0.372259699707749,NA,NA,0.502016827888595,0.760600364814076,3230.0016731631
"small","2017-01-31",385,0.386152306498816,NA,NA,0.497482836855414,0.721169830993244,3236.35445116943
"small","2017-02-28",386,0.38510944962231,NA,NA,0.586199110010614,0.738397530926721,3249.54395276738
"small","2017-03-31",387,0.357909153638242,NA,NA,0.488066968521634,0.756187613221641,3258.32757042938
"small","2017-04-30",388,0.385459643122028,NA,NA,0.489081885817429,0.656199059250331,3269.64904265741
"small","2017-05-31",389,0.380439869361146,NA,NA,0.4854393197609,0.709928278093378,3279.78228094119
"small","2017-06-30",390,0.382716515081365,NA,NA,0.42385763907633,0.560209068574487,3290.91115229944
"small","2017-07-31",391,0.365427085574827,NA,NA,0.477099862291976,0.696760838423693,3299.81836451535
"small","2017-08-31",392,0.372286446633327,NA,NA,0.527494758165192,0.678505566093519,3309.97189735364
"small","2017-09-30",393,0.372149706633889,NA,NA,0.538035590148288,0.781644163539274,3320.6313380744
"small","2017-10-31",394,0.370095388247097,NA,NA,0.48981196892126,0.706069092795669,3330.17596171852
"small","2017-11-30",395,0.368579698484227,NA,NA,0.546372904706816,0.753533893220663,3340.80875079617
"small","2017-12-31",396,0.386373559415122,NA,NA,0.461990679705324,0.727480419472484,3351.99722306405
"small","2018-01-31",397,0.384024446707286,NA,NA,0.504275724591864,0.806588343527115,3360.74769925682
"small","2018-02-28",398,0.381168009563489,NA,NA,0.510037247308842,0.678961880992295,3373.3257520521
"small","2018-03-31",399,0.371889845364896,NA,NA,0.535656332003567,0.755843595153861,3381.33573798543
"small","2018-04-30",400,0.382031865692186,NA,NA,0.500284439590174,0.697784354908849,3390.8030063247
"small","2018-05-31",401,0.383568372334698,NA,NA,0.482129565591084,0.677218925919076,3398.12835848793
"small","2018-06-30",402,0.38008881108078,NA,NA,0.472741575511667,0.620714100050331,3407.74636671875
"small","2018-07-31",403,0.383584482486136,NA,NA,0.519401199921998,0.75065937184411,3417.5337032986
"small","2018-08-31",404,0.401387776788752,NA,NA,0.524265919695595,0.716645522917377,3428.22281516916
"small","2018-09-30",405,0.381852006783245,NA,NA,0.492945367820741,0.686689332656706,3440.41369174925
"small","2018-10-31",406,0.389047077921541,NA,NA,0.523835158983141,0.692135210787491,3451.46491577042
"small","2018-11-30",407,0.392209295898767,NA,NA,0.503217654083861,0.783940209473163,3461.12953929246
"small","2018-12-31",408,0.393320163361545,NA,NA,0.561161901882532,0.782779750069464,3470.97719133747
"small","2019-01-31",409,0.407746172942106,NA,NA,0.528040117349206,0.736667014309826,3481.51338394985
"small","2019-02-28",410,0.401509426164873,NA,NA,0.574820344526202,0.770042824696104,3490.54160056438
"small","2019-03-31",411,0.400522515615654,NA,NA,0.550219286946278,0.760452247119353,3500.33349161758
"small","2019-04-30",412,0.381324219442234,NA,NA,0.535846362117921,0.668005519324251,3511.7446372762
"small","2019-05-31",413,0.389301145615231,NA,NA,0.470874589693127,0.684424396207365,3520.19178772798
"small","2019-06-30",414,0.38255002118534,NA,NA,0.523661733818416,0.715682080792377,3531.6780641702
"small","2019-07-31",415,0.379675758115873,NA,NA,0.474973488172618,0.69233914924799,3539.45676761179
"small","2019-08-31",416,0.409261371071939,NA,NA,0.548053956028029,0.763059271958258,3551.29429738111
"small","2019-09-30",417,0.382812016688222,NA,NA,0.499317419920189,0.769433111258824,3559.37875802528
"small","2019-10-31",418,0.397611482389743,NA,NA,0.552270902779753,0.730422298257023,3572.51573005899
"small","2019-11-30",419,0.401908104735757,NA,NA,0.467621701380076,0.725202566539643,3580.62721987313
"medium","2001-01-31",193,0.177128837825014,NA,NA,0.446768348629741,0.524308365875634,1847.3039001332
"medium","2001-02-28",194,0.1720301561948,NA,NA,0.376588375385046,0.513412729335247,1856.86349947127
"medium","2001-03-31",195,0.189991249627862,NA,NA,0.448542385121181,0.537145853754927,1867.90056714618
"medium","2001-04-30",196,0.187922840238429,NA,NA,0.419818150970124,0.611243450055764,1874.41714811899
"medium","2001-05-31",197,0.188889846296161,NA,NA,0.442024259499627,0.6347791040263,1884.0994202801
"medium","2001-06-30",198,0.190220241989541,NA,NA,0.409434837438215,0.60054905023601,1892.62853715791
"medium","2001-07-31",199,0.189072839181273,NA,NA,0.432989539597431,0.598913270654508,1905.78346488416
"medium","2001-08-31",200,0.193217601953201,NA,NA,0.375249199117342,0.559762726007928,1912.01768253836
"medium","2001-09-30",201,0.188234945337903,NA,NA,0.370558605027914,0.507180817244482,1922.64249158751
"medium","2001-10-31",202,0.203574532010077,NA,NA,0.372934443036397,0.502135936357935,1933.10557364208
"medium","2001-11-30",203,0.2149513019687,NA,NA,0.442731458922581,0.584771965781219,1944.00845552727
"medium","2001-12-31",204,0.199898456141821,NA,NA,0.443044459243535,0.553186330676124,1956.35062282506
"medium","2002-01-31",205,0.202052788432748,NA,NA,0.467852240684725,0.572640188970306,1967.50883465319
"medium","2002-02-28",206,0.212034461576559,NA,NA,0.458016933646757,0.580331054830433,1979.39886712176
"medium","2002-03-31",207,0.202090074835622,NA,NA,0.41642887376914,0.604630563059333,1981.27051630036
"medium","2002-04-30",208,0.202332395598461,NA,NA,0.518902455046172,0.550383827407874,2000.53652759327
"medium","2002-05-31",209,0.211107208231163,NA,NA,0.48756369405795,0.585381136127212,2012.86351344458
"medium","2002-06-30",210,0.206112283225472,NA,NA,0.469927168340538,0.579680883810696,2025.60789655284
"medium","2002-07-31",211,0.209476159468269,NA,NA,0.49499324754989,0.592031097990159,2035.99579404004
"medium","2002-08-31",212,0.201517984810346,NA,NA,0.410755196170541,0.579730135889141,2048.19381100951
"medium","2002-09-30",213,0.206989296830995,NA,NA,0.524263007410516,0.584450864014363,2051.68250340411
"medium","2002-10-31",214,0.199443783196105,NA,NA,0.525973000653138,0.630142889288773,2060.74895449159
"medium","2002-11-30",215,0.194109387437911,NA,NA,0.451073454354977,0.579162831228992,2077.07036884173
"medium","2002-12-31",216,0.204492153747044,NA,NA,0.459637348878322,0.604856120508146,2086.68258765431
"medium","2003-01-31",217,0.203221468335164,NA,NA,0.465591920105587,0.564959364569196,2098.50848251701
"medium","2003-02-28",218,0.200014195238231,NA,NA,0.498106605593123,0.653039438367483,2110.62537193109
"medium","2003-03-31",219,0.208510031280878,NA,NA,0.517508990481184,0.606555360940327,2121.10236388811
"medium","2003-04-30",220,0.18719875711723,NA,NA,0.443859033535118,0.52537039800279,2128.61746123797
"medium","2003-05-31",221,0.184730252445685,NA,NA,0.427947730199615,0.627330157920806,2141.49504014141
"medium","2003-06-30",222,0.208638543148287,NA,NA,0.390618111897768,0.591129160665345,2153.65008174921
"medium","2003-07-31",223,0.194400016532434,NA,NA,0.427608193090428,0.551579201972494,2161.49613461912
"medium","2003-08-31",224,0.193370223308616,NA,NA,0.437135792142913,0.565665660519822,2171.82214513712
"medium","2003-09-30",225,0.205811292368562,NA,NA,0.443757009558684,0.589891671464414,2184.31619744306
"medium","2003-10-31",226,0.200950243130881,NA,NA,0.385960277222582,0.504759737447016,2191.78178091623
"medium","2003-11-30",227,0.204220901254494,NA,NA,0.508599743241895,0.64217576664593,2208.47100134532
"medium","2003-12-31",228,0.198148938177697,NA,NA,0.452154193218269,0.616618073753941,2216.7416742248
"medium","2004-01-31",229,0.203533394160356,NA,NA,0.470426207544009,0.625408213153458,2234.15195656691
"medium","2004-02-29",230,0.192894501616088,NA,NA,0.446624315289805,0.624575386203155,2245.56982110902
"medium","2004-03-31",231,0.202343953194713,NA,NA,0.359619626978242,0.624723036587802,2256.31760706145
"medium","2004-04-30",232,0.20017619756457,NA,NA,0.41890507224938,0.517008322617339,2268.38864046363
"medium","2004-05-31",233,0.201996716603153,NA,NA,0.348472290592546,0.549734566388602,2279.99729496323
"medium","2004-06-30",234,0.203918043999339,NA,NA,0.38815748949417,0.574144006282865,2287.37754400582
"medium","2004-07-31",235,0.189955020932477,NA,NA,0.421069800522343,0.610004520234193,2301.8865348424
"medium","2004-08-31",236,0.197519632639582,NA,NA,0.428549918876163,0.617849417912541,2315.26573353217
"medium","2004-09-30",237,0.203959458017504,NA,NA,0.418849732741115,0.620506253869413,2326.51326560082
"medium","2004-10-31",238,0.20116769077831,NA,NA,0.34172720501136,0.559204760494559,2338.60756806799
"medium","2004-11-30",239,0.188221306398419,NA,NA,0.295182543767516,0.573545900896165,2352.21603548342
"medium","2004-12-31",240,0.193654274627986,NA,NA,0.316060740757072,0.561258714413093,2363.77223999965
"medium","2005-01-31",241,0.202768266813698,NA,NA,0.491952316319496,0.593814703628346,2375.69292497615
"medium","2005-02-28",242,0.189293449131136,NA,NA,0.396056538865793,0.631277437422675,2387.17032057986
"medium","2005-03-31",243,0.197201141851345,NA,NA,0.393628766892774,0.626738293860048,2399.63167966344
"medium","2005-04-30",244,0.193796943177248,NA,NA,0.379061829464808,0.56691860660948,2409.69408917782
"medium","2005-05-31",245,0.19344374676301,NA,NA,0.650119391644004,0.610268727904777,2425.91854449846
"medium","2005-06-30",246,0.202795904101071,NA,NA,0.458430668021385,0.60822047490942,2434.93045526762
"medium","2005-07-31",247,0.196992560754346,NA,NA,0.421792868311696,0.598466186749845,2449.23662769757
"medium","2005-08-31",248,0.207016312030835,NA,NA,0.391207631823911,0.494158612223517,2461.0892855804
"medium","2005-09-30",249,0.193773839876081,NA,NA,0.387116768025541,0.617067552524639,2454.29438311036
"medium","2005-10-31",250,0.185849741364445,NA,NA,0.554831169031325,0.611149914524333,2465.20985069051
"medium","2005-11-30",251,0.191280752353357,NA,NA,0.362534697426656,0.548041198567729,2471.9864542201
"medium","2005-12-31",252,0.196532351654616,NA,NA,0.393187969116692,0.62516083997943,2486.03005402375
"medium","2006-01-31",253,0.188559522422595,NA,NA,0.471146351854159,0.657128602785337,2499.86812742025
"medium","2006-02-28",254,0.203382349580933,NA,NA,0.401853916985185,0.555384594509897,2507.56590031951
"medium","2006-03-31",255,0.195284767202245,NA,NA,0.381036313955923,0.570510184591628,2524.28725438494
"medium","2006-04-30",256,0.200410829539337,NA,NA,0.432988339604907,0.571688166167884,2536.07157388399
"medium","2006-05-31",257,0.195690656283148,NA,NA,0.37816076688493,0.572468191818635,2549.74524133119
"medium","2006-06-30",258,0.209724747435165,NA,NA,0.453679713966359,0.587719964199916,2561.82363727642
"medium","2006-07-31",259,0.188651008265465,NA,NA,0.5248338132811,0.610293350649486,2574.9095202203
"medium","2006-08-31",260,0.194438688428113,NA,NA,0.482873505138742,0.635667109895022,2589.34322704375
"medium","2006-09-30",261,0.211926798399808,NA,NA,0.385319568172117,0.564598876363089,2598.1309696054
"medium","2006-10-31",262,0.20661231804188,NA,NA,0.375713956060207,0.559824620571143,2606.71242644257
"medium","2006-11-30",263,0.20203866993677,NA,NA,0.423853655658007,0.535236544176552,2619.49284532141
"medium","2006-12-31",264,0.198476724912951,NA,NA,0.389752689839142,0.632933734823337,2634.04314031093
"medium","2007-01-31",265,0.207924035052827,NA,NA,0.553193901677857,0.613205467307502,2643.07199696163
"medium","2007-02-28",266,0.188903352506835,NA,NA,0.398608036253104,0.555238086386171,2655.61446191134
"medium","2007-03-31",267,0.205075955284268,NA,NA,0.347962987913624,0.483661284643653,2670.21169332072
