"scenario","model","variable","horizon","target_date","rel_rmsfe"
"baseline","Full","CPI",1,2018-07-31,0.67998301791175
"baseline","Full","CPI",1,2018-08-31,0.682593054689583
"baseline","Full","CPI",1,2018-09-30,0.672244168042642
"baseline","Full","CPI",1,2018-10-31,0.663913647896388
"baseline","Full","CPI",1,2018-11-30,0.675227870438369
"baseline","Full","CPI",1,2018-12-31,0.688450993084021
"baseline","Full","CPI",1,2019-01-31,0.694390838079858
"baseline","Full","CPI",1,2019-02-28,0.684629679675172
"baseline","Full","CPI",1,2019-03-31,0.677429525725405
"baseline","Full","CPI",1,2019-04-30,0.669590631116055
"baseline","Full","CPI",1,2019-05-31,0.687077072978574
"baseline","Full","CPI",1,2019-06-30,0.687539365425852
"baseline","Full","CPI",1,2019-07-31,0.681617026902203
"baseline","Full","CPI",1,2019-08-31,0.678743308383377
"baseline","Full","CPI",1,2019-09-30,0.672483514843975
"baseline","Full","CPI",1,2019-10-31,0.667850320544627
"baseline","Full","CPI",1,2019-11-30,0.657513370855435
"baseline","Full","CPI",1,2019-12-31,0.647243604483825
"baseline","Full","CPI",3,2001-04-30,NA
"baseline","Full","CPI",3,2001-05-31,NA
"baseline","Full","CPI",3,2001-06-30,NA
"baseline","Full","CPI",3,2001-07-31,NA
"baseline","Full","CPI",3,2001-08-31,NA
"baseline","Full","CPI",3,2001-09-30,NA
"baseline","Full","CPI",3,2001-10-31,NA
"baseline","Full","CPI",3,2001-11-30,NA
"baseline","Full","CPI",3,2001-12-31,NA
"baseline","Full","CPI",3,2002-01-31,NA
"baseline","Full","CPI",3,2002-02-28,NA
"baseline","Full","CPI",3,2002-03-31,NA
"baseline","Full","CPI",3,2002-04-30,NA
"baseline","Full","CPI",3,2002-05-31,NA
"baseline","Full","CPI",3,2002-06-30,NA
"baseline","Full","CPI",3,2002-07-31,NA
"baseline","Full","CPI",3,2002-08-31,NA
"baseline","Full","CPI",3,2002-09-30,NA
"baseline","Full","CPI",3,2002-10-31,NA
"baseline","Full","CPI",3,2002-11-30,NA
"baseline","Full","CPI",3,2002-12-31,NA
"baseline","Full","CPI",3,2003-01-31,NA
"baseline","Full","CPI",3,2003-02-28,NA
"baseline","Full","CPI",3,2003-03-31,NA
"baseline","Full","CPI",3,2003-04-30,NA
"baseline","Full","CPI",3,2003-05-31,NA
"baseline","Full","CPI",3,2003-06-30,NA
"baseline","Full","CPI",3,2003-07-31,NA
"baseline","Full","CPI",3,2003-08-31,NA
"baseline","Full","CPI",3,2003-09-30,NA
"baseline","Full","CPI",3,2003-10-31,NA
"baseline","Full","CPI",3,2003-11-30,NA
"baseline","Full","CPI",3,2003-12-31,NA
"baseline","Full","CPI",3,2004-01-31,NA
"baseline","Full","CPI",3,2004-02-29,NA
"baseline","Full","CPI",3,2004-03-31,NA
"baseline","Full","CPI",3,2004-04-30,NA
