y_au,pi_au,i_au,q_au,s_au,y_us,pi_us,i_us
1.889431705,-0.328272485,4.79,0.02594967,-1.452170733,1.840967527,1.459559698,4.733333333
2.056735266,1.638674967,4.85,-4.242503856,-0.130975788,1.92107027,2.983584037,4.746666667
1.680130995,3.581627511,4.94,1.123102698,-1.94432567,2.339345211,2.961494268,5.093333333
2.33948426,2.262632296,5.466666667,0.55592247,-1.781217576,3.359586451,2.939729192,5.306666667
2.414312394,3.529906582,5.783333333,4.214505778,-2.490788791,2.873216457,3.938590309,5.676666667
2.665741671,3.182196576,6.193333333,5.233621025,0.123076939,3.69291732,3.123185884,6.273333333
1.99547936,2.626289123,6.42,3.874360491,-1.224005489,2.841024748,3.638852154,6.52
0.311032394,1.220443357,6.313333333,7.01804325,0.855228182,2.623751453,2.841521021,6.473333333
0.243892918,4.242464012,5.546666667,1.85206997,-0.367422336,1.765992583,3.808101877,5.593333333
0.254919306,3.302082542,4.906666667,2.095574332,-0.609386407,1.339433683,2.794837166,4.326666667
0.43006061,1.194030737,4.846666667,-0.297963032,-1.087624014,0.255044085,1.127502391,3.496666667
0.836193656,3.560854376,4.296666667,-1.310974071,0.60277458,-0.081540357,-0.300356688,2.133333333
0.897255148,3.529434663,4.343333333,-1.850953792,-1.440601144,-0.134594416,1.274961237,1.733333333
1.285012296,2.917591345,4.833333333,-7.143332218,0,-0.319969061,3.132591062,1.75
1.114332106,2.607760051,4.953333333,1.537679296,-0.594178813,-0.459282204,2.148750189,1.74
0.501412112,2.877710254,4.856666667,-2.289546073,-0.825963398,-1.134097534,2.357715428,1.443333333
0.374262461,5.128275372,4.77,-7.080720582,-0.819197091,-1.559136191,3.729119414,1.25
-0.300466569,0,4.746666667,-7.714040314,-0.232828976,-1.429498195,0.218281042,1.246666667
0.232944258,2.258298165,4.816666667,-1.500978408,-1.500316659,-0.345774184,2.465562556,1.016666667
1.277318466,1.965605921,5.25,-9.977206356,-2.040887163,-0.411947961,1.082935415,0.996666667
1.01073379,3.62498124,5.543333333,-5.366789415,-3.636764417,-0.400960337,3.44582174,1.003333333
0.751584998,1.938390778,5.513333333,8.193991966,-2.353049741,-0.262768066,4.124480987,1.01
0.29634837,1.654034059,5.44,0.62516971,-1.677188161,-0.094838779,2.116780385,1.433333333
-0.298973856,3.014745343,5.416666667,-8.404654108,-1.239685298,-0.180364797,3.503262891,1.95
-0.543104335,2.721098929,5.62,-1.632798948,-2.8341978,-0.137574634,2.08732427,2.47
0.027981678,2.433261981,5.696666667,1.906957406,-5.90970967,-0.156492931,3.798699015,2.943333333
-0.460736698,3.75589614,5.63,1.844869301,-1.67914393,0.224381682,5.461767739,3.46
-0.743035668,2.130497713,5.63,2.396391542,-2.376711507,-0.18875368,3.376117274,3.98
-0.974734948,3.438037694,5.616666667,0.342028814,-0.540541857,0.279404025,1.878252655,4.456666667
-1.259894614,6.270539907,5.84,-2.845013316,-1.692690749,0.175878797,4.921911119,4.906666667
-1.69196512,3.612927788,6.15,-0.824677544,-2.443402534,-0.264518539,3.029319714,5.246666667
-1.555940962,-0.514138888,6.346666667,-3.38363803,-1.709443336,-0.451573296,-2.104921812,5.246666667
-0.867390023,0.25715205,6.41,-0.040514651,-1.43039881,-1.004899794,3.744986144,5.256666667
