"window_start","window_end","rmsfe_h1","rmsfe_h3","rmsfe_h12","variable"
2011-08-31,2014-07-31,708527559586641,4.47735635059504e+25,1.92828753401563e+102,"CPI"
2011-09-30,2014-08-31,710112522331713,4.51370347659445e+25,1.93027306873387e+102,"CPI"
2011-10-31,2014-09-30,699241967746304,4.54197202744798e+25,1.93105576932924e+102,"CPI"
2011-11-30,2014-10-31,699094974726481,4.5465145771391e+25,1.9307377557163e+102,"CPI"
2011-12-31,2014-11-30,698600676212545,4.64614634001378e+25,1.93933664198328e+102,"CPI"
2012-01-31,2014-12-31,716842559957372,4.84323258235512e+25,1.98323262156477e+102,"CPI"
2012-02-29,2015-01-31,691316640654064,5.52119313517947e+25,2.15511572655688e+102,"CPI"
2012-03-31,2015-02-28,691119198212645,5.5410854806646e+25,2.15507647077286e+102,"CPI"
2012-04-30,2015-03-31,687516480367392,5.54684753663362e+25,2.15319519160017e+102,"CPI"
2012-05-31,2015-04-30,687668540883484,5.53170679637132e+25,2.15197062270097e+102,"CPI"
2012-06-30,2015-05-31,692927316723602,5.26812740730397e+25,1.80321972742173e+102,"CPI"
2012-07-31,2015-06-30,697730294105704,5.20435025163614e+25,1.78537551822605e+102,"CPI"
2012-08-31,2015-07-31,701732776877229,5.18925551929708e+25,1.78466335362286e+102,"CPI"
2012-09-30,2015-08-31,689220447632073,4.87329091308423e+25,1.60738762647336e+102,"CPI"
2012-10-31,2015-09-30,689076038330537,4.88221068667404e+25,1.60300179060162e+102,"CPI"
2012-11-30,2015-10-31,644236622889737,4.87696922965608e+25,1.60296613803891e+102,"CPI"
2012-12-31,2015-11-30,677968825372231,4.74576707959578e+25,1.57578943775752e+102,"CPI"
2013-01-31,2015-12-31,693331606811576,4.72796240779748e+25,1.56432320129264e+102,"CPI"
2013-02-28,2016-01-31,677148493111354,4.73859721831819e+25,1.56441543213401e+102,"CPI"
2013-03-31,2016-02-29,668756759225287,4.67171750349499e+25,1.5451177513482e+102,"CPI"
2013-04-30,2016-03-31,668802723574247,4.20331775817994e+25,1.06240981018321e+102,"CPI"
2013-05-31,2016-04-30,685555105484814,4.11314923004144e+25,1.02600275775906e+102,"CPI"
2013-06-30,2016-05-31,671898704664194,4.10008914295682e+25,1.02535149280123e+102,"CPI"
2013-07-31,2016-06-30,669772855038633,4.13384867270799e+25,1.02570979390551e+102,"CPI"
2013-08-31,2016-07-31,678420484061159,4.17623918040105e+25,1.02732815054472e+102,"CPI"
2013-09-30,2016-08-31,685744631335767,4.17463016170032e+25,1.02731972344253e+102,"CPI"
2013-10-31,2016-09-30,671633516338413,4.14878064151729e+25,1.02611111608992e+102,"CPI"
2013-11-30,2016-10-31,632722429511729,4.12654320745221e+25,1.02549424531306e+102,"CPI"
2013-12-31,2016-11-30,628343751627115,4.13128948245785e+25,1.02551840998701e+102,"CPI"
2014-01-31,2016-12-31,629827364523430,4.1250911589543e+25,1.02545126224581e+102,"CPI"
2014-02-28,2017-01-31,630619864214241,4.14734504539151e+25,1.02623412827043e+102,"CPI"
2014-03-31,2017-02-28,640850672437713,4.15500110808845e+25,1.02635579511854e+102,"CPI"
2014-04-30,2017-03-31,632767765465455,4.19873719639723e+25,1.02759754660781e+102,"CPI"
2014-05-31,2017-04-30,646959848925276,4.18495107356968e+25,1.0273086097104e+102,"CPI"
2014-06-30,2017-05-31,609094932404085,4.2515764557484e+25,1.03341795134121e+102,"CPI"
2014-07-31,2017-06-30,628716745080290,4.26035079484362e+25,1.03351022169374e+102,"CPI"
2014-08-31,2017-07-31,627376540025820,4.27549045067773e+25,1.03398273580244e+102,"CPI"
2014-09-30,2017-08-31,617795656139518,4.26558611230915e+25,1.03118449777422e+102,"CPI"
2014-10-31,2017-09-30,644350331240689,4.32304426773087e+25,1.03635568568807e+102,"CPI"
2014-11-30,2017-10-31,656135808250411,4.29999772368092e+25,1.03567346983924e+102,"CPI"
2014-12-31,2017-11-30,668025612196276,4.19834771488145e+25,1.01952996561241e+102,"CPI"
2015-01-31,2017-12-31,651322861202756,3.89894528755613e+25,8.94317426191273e+101,"CPI"
